Row_ID,Entry_ID,Order_Date,Ship_Date,Customer,Shipping_Agency,Avergae_shipping_time_in_Days,Cost:_up_to_1lbs_(JMD),Parish,Parking,_Efficient_Staff,Pick_up_wait_tme,Outbound_Shipping,Product_ID,Category,Sub-Category,Product_Name,Quantity,Processing_fee,Total_cost,Customer_review
1,CA-2016-152156,2/21/2020,2/24/2020,Claire Gute,Klick and Ship-Kingston,3,$750.00 ,Kingston, -   ,5,3, -   ,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,0%,"$1,500.00 ",Cheapest Shipping Company
2,CA-2016-152156,2/21/2020,2/24/2020,Claire Gute,Klick and Ship-Kingston,3,$750.00 ,Kingston, -   ,5,3, -   ,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,0%,"$2,250.00 ",Speed
3,CA-2016-138688,9/25/2019,9/29/2019,Darrin Van Huff,ShipWize-Kingston,5,$500.00 ,Kingston,4,2,3, -   ,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2,0%,"$1,000.00 ",Courteryous 
4,US-2015-108966,1/23/2019,1/30/2019,Sean O'Donnell,New vision-Kingston,4,$500.00 ,Kingston,5,3,4, -   ,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,45%,"$3,625.00 ",Cheapest Shipping Company
5,US-2015-108966,1/23/2019,1/30/2019,Sean O'Donnell,New vision-Kingston,4,$500.00 ,Kingston,5,3,4, -   ,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2,20%,"$1,200.00 ",Very Log Wait
6,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,0%,"$4,368.00 ",Long Line
7,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,OFF-AR-10002833,Office Supplies,Art,Newell 322,4,0%,"$2,496.00 ",Unbeatable
8,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,20%,"$4,492.80 ",Good Prices
9,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,20%,"$2,246.40 ",Limited Parking
10,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,0%,"$3,120.00 ",Good Prices
11,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,9,20%,"$6,739.20 ",Professional
12,CA-2014-115812,9/21/2019,9/26/2019,Brosina Hoffman,Tara Courier-Kingston,3,$624.00 ,Kingston,2,3,5,4,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,4,20%,"$2,995.20 ",No Partking
13,CA-2017-114412,7/28/2020,8/2/2020,Andrew Allen,Ship things-Kingston,5,$500.00 ,Kingston,3,5,4, -   ,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,3,20%,"$1,800.00 ",Reseanable Cost
14,CA-2016-161389,3/19/2020,3/24/2020,Irene Maddox,Oak connect-St. Catherine,10,$450.00 ,St. Catherine,1,2,4, -   ,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,3,20%,"$1,620.00 ",Cheapest Shipping Company
15,US-2015-118983,3/6/2019,3/10/2019,Harold Pawlan,Fedex-Kingston,2,"$4,963.64 ",Kingston,1,5,3,5,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5,80%,"$44,672.73 ",Great Time
16,US-2015-118983,3/6/2019,3/10/2019,Harold Pawlan,Fedex-Kingston,2,"$4,963.64 ",Kingston,1,5,3,5,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,3,80%,"$26,803.64 ",Great Time
17,CA-2014-105893,2/23/2020,3/2/2020,Pete Kriz,Fedex-Kingston,2,"$4,963.64 ",Kingston,1,5,3,5,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,0%,"$29,781.82 ",Courteryous 
18,CA-2014-167164,8/25/2019,8/27/2019,Alejandro Grove,Press worldwide ship-Kingston,10,$750.00 ,Kingston,2,5,5, -   ,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,2,0%,"$1,500.00 ",Effeciency 
19,CA-2014-143336,12/9/2019,12/14/2019,Zuschuss Donatelli,My cart-Kingston,7,$600.00 ,Kingston,5,5,4, -   ,OFF-AR-10003056,Office Supplies,Art,Newell 341,2,0%,"$1,200.00 ",Good Prices
20,CA-2014-143336,12/9/2019,12/14/2019,Zuschuss Donatelli,My cart-Kingston,7,$600.00 ,Kingston,5,5,4, -   ,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,3,20%,"$2,160.00 ",Unprofessional
